"español","BookIndex",kanji
"uno",1,一
"dos",2,に
"tres",3,三
"cuatro",4,四
"cinco",5,五
"seis",6,六
"siete",7,七
"ocho",8,八
"nueve",9,九
"diez",10,十
"boca",11,口
"dia",12,日
"mes",13,月
"campo de arroz",14,田
"ojo",15,目
